,Station Latitude,Station Longitude
74,40.684459999999994,-73.97689
82,40.5993,-73.955929
83,40.644031,-73.964492
94,40.640927000000005,-73.963891
98,40.595246,-73.955161
99,40.635082000000004,-73.962793
292,40.682829,-73.905249
293,40.645957,-73.901741
294,40.645757,-73.9025
295,40.646654,-73.90185
338,40.658733000000005,-73.899232
339,40.669367,-73.901975
342,40.688764,-73.904046
346,40.670343,-73.959245
347,40.680596,-73.955827
358,40.711396,-73.889601
372,40.718092,-73.999892
373,40.713243,-74.003401
374,40.71419,-74.003199
385,40.61741,-73.985026
386,40.592721000000004,-73.97823000000001
387,40.635064,-74.011719
429,40.646291999999995,-73.994324
452,40.759145000000004,-73.95326
572,40.67358,-73.995959
573,40.699743,-73.986885
574,40.796092,-73.961454
774,40.830135,-73.938209
908,40.678334,-73.905316
919,40.68138,-73.956848
989,40.677044,-73.86505
1130,40.672131,-73.835812
1161,40.608382,-73.815925
1162,40.603995,-73.75540500000001
1167,40.580903,-73.835592
1175,40.755983,-73.98622900000001
1362,40.713051,-74.008811
1371,40.8883,-73.830834
1374,40.854364000000004,-73.860495
1375,40.858985,-73.85535899999999
1376,40.684359,-73.977666
1439,40.746848,-73.89139399999999
1452,40.751431,-73.97604100000001
1511,40.873412,-73.890064
1557,40.823879999999996,-73.93647
1665,40.712868,-74.004806
1666,40.712723,-74.004971
1667,40.712333,-74.004387
1668,40.711857,-74.005114
1669,40.711824,-74.005057
1670,40.713813,-74.003907
1671,40.713889,-74.003654
1789,40.833226,-73.860816
1797,40.839892,-73.842952
